Company,Company Score,Job Title,Location,Date,Salary,Maximum Salary
NetApp,3.9,ML Software Engineer,Remote,30d+,$105K - $152K ,152000.0
Quantum Systems Inc,4.1,"Software Developer Engineer, IT Technical Operations","Honolulu, HI",10d,$135K - $175K ,175000.0
Salesforce,3.9,Software Engineer,Remote,10d,$154K - $279K ,279000.0
Visa,3.7,Software Engineer Lead,"Moorpark, CA",12d,$86K - $145K ,145000.0
Honeywell,3.6,Full-Stack Software Engineer – LMTS / PMTS,"San Francisco, CA",30d+,$104K - $348K ,348000.0
Oliver Wyman Group,3.4,Software Engineer – Senior Consultant Level - Tink,"Austin, TX",4d,$76K - $155K ,155000.0
NVIDIA,2.5,Software Engineer I,"Richardson, TX",30d+,$83K - $114K ,114000.0
Morgan Stanley,4.4,NERA Associate Software Engineer,"White Plains, NY",30d+,$155K - $221K ,221000.0
Amex,4.5,System Software Engineer – Autonomous Vehicles Platform,"Santa Clara, CA",30d+,$100K - $200K ,200000.0
Multi State Lottery Association,4.0,"Associate, Python / Perl Dev","Alpharetta, GA",10d,$83K - $110K ,110000.0
EOG Resources,3.4,"Backend Software Engineer, Digital Banking-Payments","Phoenix, AZ",6d,$99K ,99000.0
BAXTER,3.7,Senior Software Engineer,"Johnston, IA",11d,$129K - $207K ,207000.0
Afterpay,3.7,Software Engineer I,"Houston, TX",30d+,$161K - $215K ,215000.0
U.S. Bank National Association,4.0,Senior Backend Software Engineer (Hybrid),"Bellevue, WA",30d+,$93K - $132K ,132000.0
Geon Technologies,3.8,"Software Engineer - PubSub, Cash App","San Francisco, CA",1d,$95K - $115K ,115000.0
INTEL,5.0,"Software Engineer 2 - Mainframe (Cobol, JCL, VSAM)","Brookfield, WI",12d,$310K - $465K ,465000.0
TDI Technologies,4.1,Software Engineer,"Annapolis Junction, MD",30d+,$117K - $160K ,160000.0
DAIKIN COMFORT TECHNOLOGIES MFG LP,4.3,Software Engineer / Simulation - Virtual Prototyping,"San Jose, CA",21d,$213K - $293K ,293000.0
Intone Networks,4.4,C# Software Engineer,Pennsylvania,6d,$87K - $124K ,124000.0
Intone Networks,3.6,SOFTWARE ENGINEER 3,"Chatsworth, CA",4d,$163K - $294K ,294000.0
Wise,3.6,Software Engineer in Test,"Westlake, TX",25d,$195K - $230K ,230000.0
"Garmin International, Inc.",3.1,Jr Cloud Engineer,"Phoenix, AZ",9d,$70K - $90K ,90000.0
Nyla Technology Solutions,4.2,"Senior Software Engineer II, Wise Account","Austin, TX",19d,$86K - $109K ,109000.0
Wellington Management,3.0,Senior .NET Software Engineer,"Cary, NC",4d,$79K - $124K ,124000.0
Synergy ECP,3.5,Software Engineer,"Annapolis Junction, MD",30d+,$122K - $147K ,147000.0
Costco Wholesale,3.1,Senior Software Engineer,"Boston, MA",30d+,$110K - $154K ,154000.0
"Vizient, Inc.",4.5,Software Engineer,"Annapolis Junction, MD",30d+,$119K - $142K ,142000.0
Leidos,3.7,Software Engineer - IT Sustainability,"Seattle, WA",17d,$120K - $150K ,150000.0
Noblis,3.7,Senior Software Engineer,"Irving, TX",30d+,$85K - $131K ,131000.0
ELEVI Associates,4.7,Junior Software Engineer - Panama Shift!,"Annapolis Junction, MD",30d+,$60K - $80K ,80000.0
ASCENDING,4.0,Software Solutions Engineer – Multiple Levels,"Oklahoma City, OK",30d+,$112K - $177K ,177000.0
Trellint,4.0,Sr Software Engineer,"Annapolis Junction, MD",4d,$90K - $104K ,104000.0
Synergy ECP,4.1,Cloud Software Engineer,"Fairfax, VA",30d+,$79K - $159K ,159000.0
Lockheed Martin,3.6,R&D Software Engineer II,Maryland,11d,$195K - $245K ,245000.0
"Trusted Space, Inc.",4.4,Software Engineer 1,"Columbia, MD",30d+,$66K - $112K ,112000.0
State Street,4.2,Software Engineer,"Highlands Ranch, CO",2d,$145K - $190K ,190000.0
"Availity, LLC.",4.0,Software Engineer,Colorado,16d,$86K - $127K ,127000.0
BorgWarner,1.0,"Software Development Engineer, Officer, Onsite","Quincy, MA",3d,$120K - $140K ,140000.0
Ford Motor Company,4.1,Node.js/Kotlin Software Engineer IV,"Jacksonville, FL",24d,$61K - $89K ,89000.0
Forterra,3.9,Software Resident Engineer,"Auburn Hills, MI",6d,$68K - $102K ,102000.0
Epsilon,3.1,Software Engineer,"Dearborn, MI",5d,$79K - $125K ,125000.0
ByteDance,3.3,Perception Software Engineer - ML Ops,Remote,30d+,$100K - $155K ,155000.0
Logistics Management Institute,3.7,Senior Front End Software Engineer,"Chicago, IL",10d,$94K - $122K ,122000.0
"Hottinger, Bruel & Kjaer",3.9,Software Engineer (Data Security-US) - 2025 Start (BS/MS),"San Jose, CA",6d,$60.00 - $72.00 Per Hour ,149760.0
Sirius XM,3.6,Cloud Engineer,Remote,3d,$105K - $125K ,125000.0
Warner Bros. Discovery,3.8,Custom Software Engineer,"Pompano Beach, FL",30d+,$103K - $147K ,147000.0
Peloton,3.3,"Senior Software Engineer - Python, Celery, Redis","Oakland, CA",3d,$81K - $118K ,118000.0
Movius Interactive Corporation,3.4,"VP, Software Engineering",United States,6d,$122K - $172K ,172000.0
Accenture Federal Services,4.0,Site Reliability Engineer,United States,6d,$108K - $216K ,216000.0
Corteva,3.9,Software Engineer- Backend,"Fremont, CA",19d,$122K - $184K ,184000.0
IntraFi Network,3.3,Software Engineer,"Elkridge, MD",3d,$121K - $181K ,181000.0
PSEG,3.9,Software Engineer II,"Johnston, IA",9d,$78K - $133K ,133000.0
Ryzlink DBA Chuwa America,3.1,Senior Software Engineer,"Arlington, VA",13d,$75K ,75000.0
Trane Technologies,3.6,Software Engineer,"Bethpage, NY",10d,$86K - $139K ,139000.0
Discord,4.3,Software Programmer,"Santa Clara, CA",5d,$88K - $173K ,173000.0
Tesla,4.2,Software Engineer - Innovation,"Saint Paul, MN",10d,$182K - $244K ,244000.0
Microsoft,4.0,"Software Engineer, Ads (Quests)","San Francisco, CA",18d,$124K - $155K ,155000.0
First American Financial Corporation,3.7,"Staff Software Engineer, Backend, Factory Software","Fremont, CA",4d,$94K - $129K ,129000.0
IntraFi Network,3.6,Software Engineer 2,"Redmond, WA",2d,$72.84 - $80.93 Per Hour ,168334.4
Collins Aerospace,3.5,Software Engineer II (Hybrid or Remote Possible),"Idaho Falls, ID",1d,$130K - $165K ,165000.0
Roche,4.3,Software Engineer (Customer-Facing Applications),"Arlington, VA",10d,$65K - $101K ,101000.0
Qualtrics,3.0,Software Engineer,"Lenexa, KS",15d,$129K - $224K ,224000.0
Edward Rose & Sons,4.4,Senior Software Engineer - Digital Pathology,"Santa Clara, CA",2d,$161K - $243K ,243000.0
Michelin,5.0,Senior Software Development Engineer - Data Engineering Team,"Seattle, WA",8d,$76K - $107K ,107000.0
"Garmin International, Inc.",4.7,Yardi Enterprise Software Support Engineer - Hybrid Remote,"Bloomfield Hills, MI",11d,$70K - $85K ,85000.0
Smart IMS,4.3,Software Engineer(Entry/Experienced) SPA,"Spartanburg, SC",26d,$75K - $150K ,150000.0
Wipro,3.9,Embedded C / Linux Software Engineer - Marine,"Olathe, KS",23d,$110K - $150K ,150000.0
Harley-Davidson,3.8,Software Engineer 2,United States,30d+,$98K - $147K ,147000.0
"VIZIO, Inc.",3.4,PHP Engineer,"Tampa, FL",30d+,$74K - $92K ,92000.0
Geneva Technologies Inc.,3.4,Associate Design Engineer - Software V&V,"Wauwatosa, WI",30d+,$8K - $12K ,12000.0
ElectronX,4.2,Senior Software Engineer,"Dallas, TX",5d,$90K - $131K ,131000.0
Camelot Integrated Solutions Inc.,3.7,Software Engineer,"Monument, CO",4d,$120K - $150K ,150000.0
"JRC Integrated Systems, LLC",3.7,Experienced: Core Infrastructure Software Engineer,Remote,3d,$126K - $237K ,237000.0
Sabre Engineering,3.5,Software Developer (Job Code 001),"Houston, TX",30d+,$50K - $78K ,78000.0
Thermoflow,4.2,Software Engineer,"Dahlgren, VA",30d+,$94K - $117K ,117000.0
Fanatics Inc.,3.5,JR. SOFTWARE ENGINEER,"Columbia, MD",2d,$185K - $200K ,200000.0
"Twitch Interactive, Inc.",3.5,"Computer Science, Software Engineers, Programmers","Jacksonville, FL",30d+,$103K - $149K ,149000.0
Adtran,3.4,Sr Software Engineer,"New York, NY",30d+,$109K - $141K ,141000.0
Oncorre,3.8,Software Development Engineer,"Seattle, WA",5d,$76K - $116K ,116000.0
NMG Technology Services,3.8,Senior Software Engineer,Oregon,5d,$37K - $82K ,82000.0
Captivation Software,3.7,Software Engineer,"Bridgewater, NJ",30d+,$129K - $159K ,159000.0
Invisible Technologies,3.7,Software Engineer,"Brooklyn, NY",30d+,$80K - $111K ,111000.0
Metas Solutions,4.1,Software Engineer 2 - DevOps,"Annapolis Junction, MD",30d+,$95K - $133K ,133000.0
"GAP Solutions, Inc.",4.0,Senior Software Engineer - Platform,Remote,16d,$130K - $140K ,140000.0
Independent Software,4.2,Software Quality Assurance Engineer & Tester,"Atlanta, GA",2d,$81K - $118K ,118000.0
InterImage,4.1,Software QA Engineer and Tester,"Atlanta, GA",24h,$120K - $150K ,150000.0
Tickets.com,5.0,"Software Integration Engineer, Junior","Fort Meade, MD",30d+,$180K - $260K ,260000.0
Adobe,4.9,2251 Java & NiFi Software Engineer,"Annapolis Junction, MD",18d,$86K - $111K ,111000.0
Embecta,3.3,Senior Software Engineer,"Boulder, CO",6d,$40.00 - $45.00 Per Hour ,93600.0
Tesla,4.2,Senior Software Development Engineer,"San Jose, CA",11d,$74K - $109K ,109000.0
CVS Health,4.1,"Senior FullStack Software Engineer (hybrid - Andover, MA)","Andover, MA",6d,$108K - $116K ,116000.0
Space Systems Integration,3.0,"Sr. Software Engineer, Backend, Factory Software","Fremont, CA",4d,$103K - $146K ,146000.0
Cash App,4.5,Full-Stack Software Developer,"Hartford, CT",17d,$89K - $128K ,128000.0
Annapurna Labs (U.S.) Inc.,5.0,Software Engineer,"Albuquerque, NM",30d+,$84K ,84000.0
Index Engines Inc.,3.9,"Software Engineer, Incentive","Seattle, WA",3d,$144K - $198K ,198000.0
Ford Motor Company,4.4,"Software Dev Engineer - Machine Learning Apps, Accelerator","Cupertino, CA",3d,$160K - $321K ,321000.0
Q9Software,4.1,React Software Engineer,Colorado,30d+,$97K - $155K ,155000.0
Squarespace,3.8,Software Engineer,"Dearborn, MI",30d+,$120K - $290K ,290000.0
"Advanced Micro Devices, Inc",3.4,Software Developer,"Germantown, MD",30d+,$87K - $126K ,126000.0
InterImage,3.7,"Senior Software Engineer, User Platform (Java)",United States,5d,$129K - $224K ,224000.0
"Flow Systems, Inc",3.4,Software Development Engineer - AI/ML,"San Jose, CA",30d+,$103K - $141K ,141000.0
OpenAI,4.6,2128 Software Engineer 1 (Java Focused),"Annapolis Junction, MD",18d,$135K - $155K ,155000.0
Teradyne,3.8,Software Engineer,"Berthoud, CO",3d,$65K - $118K ,118000.0
Meta,2.9,"Senior Software Engineer, Search Evaluations","San Francisco, CA",6d,$80K - $94K ,94000.0
Yellow Duck Technologies Inc.,4.3,Software Performance Engineer,"North Reading, MA",18d,$104K - $348K ,348000.0
Workday,4.0,Software Engineer - Camera (Technical Leadership),"Redmond, WA",3d,$300K - $450K ,450000.0
Ops Tech Alliance,4.2,Cleared Junior Software Engineer,"Annapolis Junction, MD",15d,$90K - $126K ,126000.0
CDK Global,3.7,Principal Software Engineer,"Seattle, WA",30d+,$78K - $102K ,102000.0
IAB Solutions LLC,3.7,Software Engineer Level 3,"Fort Meade, MD",30d+,$110K - $154K ,154000.0
General Assembly,4.2,Associate Software Engineer,"Austin, TX",5d,$87K - $171K ,171000.0
Delta Dental Ins.,4.3,Senior Software Engineer,Whitehall Township,11d,$125K - $160K ,160000.0
Cotiviti,4.4,Software Engineer Instructor,"Denver, CO",30d+,$83K - $124K ,124000.0
BOEING,4.1,Senior Software Engineer,"Alpharetta, GA",1d,$74K - $98K ,98000.0
Braum's,3.9,Sr. DevOps Engineer,Remote,2d,$102K - $159K ,159000.0
Cummings Aerospace Inc,2.5,Software Engineer - Mid Level,"Annapolis Junction, MD",17d,$115K - $165K ,165000.0
T.M. Bier & Associates,4.4,Senior Software Engineer,"Oklahoma City, OK",6d,$108K - $216K ,216000.0
Zelis,3.9,Software Engineer-Mid Level,"Largo, FL",3d,$90K - $145K ,145000.0
TikTok,3.7,Software Engineer (BMS),United States,9d,$68K - $104K ,104000.0
Eaton,3.5,Senior Software Engineer - C# & Rust,New Jersey,3d,$72K - $108K ,108000.0
CVS Health,3.0,"Frontend Software Engineer Graduate, TikTok Infrastructure - 2025 Start (BS/MS)","San Jose, CA",10d,$69K - $120K ,120000.0
Zoox,3.7,Eaton Development Program: Engineering Technology - Software,"Peachtree City, GA",5d,$72K - $127K ,127000.0
Radiance Technologies,3.9,Software Development Engineer,"Hartford, CT",30d+,$158K - $205K ,205000.0
Boston Consulting Group,4.2,Senior Fullstack Software Engineer - Perception Metrics Platform,"San Francisco, CA",19d,$100K - $160K ,160000.0
Sage,3.5,Full Stack Software Engineer,"Beavercreek, OH",13d,$50.00 - $54.00 Per Hour ,112320.0
Neurable,4.4,"AI Software Engineer, Campus, United States - BCG X","Los Angeles, CA",4d,$130K - $210K ,210000.0
ASM International,3.4,"Software Engineer - C#, C++","Lawrenceville, GA",30d+,$115K - $159K ,159000.0
Galvion,4.0,Senior Software Engineer,"Boston, MA",9d,$138K - $192K ,192000.0
Prophet Software,3.6,Field Software Support Engineer,"Hillsboro, OR",30d+,$89K - $129K ,129000.0
Ansira,4.1,Associate Software Engineer (on-site),"Portsmouth, NH",1d,$130K - $150K ,150000.0
Elder Research,4.7,Software Developer,"Westlake Village, CA",16d,$177K - $251K ,251000.0
3 Reasons Consulting,3.9,Full Stack Software Engineer,Washington State,11d,$100K - $158K ,158000.0
"AB2 Consulting, Inc.",3.2,Backend Software Engineer,"Fort George G Meade, MD",30d+,$168K - $253K ,253000.0
University of Maryland,4.1,Software Engineer II,"San Diego, CA",30d+,$167K - $296K ,296000.0
CPI Card Group,3.6,"Software Development Engineer in Test (SDET) / Okemos, MI (Hybrid)","Okemos, MI",10d,$136K - $200K ,200000.0
Simplot,3.8,Research Software and Data Engineer,"College Park, MD",5d,$35.00 - $50.00 Per Hour ,104000.0
Walmart Advanced Systems and Robotics,4.1,Software Process Engineer,"Fort Wayne, IN",30d+,$118K - $142K ,142000.0
Fanatics Inc.,3.5,Software Engineer,"Boise, ID",12d,$109K - $219K ,219000.0
GE HEALTHCARE,4.0,Senior Software Engineer – Emulation,"Andover, MA",25d,$64K - $113K ,113000.0
NORC at the University of Chicago,4.1,"Software Engineer II, Android",United States,30d+,$104K - $166K ,166000.0
WSSC Water,5.0,Software Engineer,"Washington, DC",30d+,$181K - $212K ,212000.0
RVO Health,4.0,Cloud Engineer,"Chicago, IL",5d,$91K - $119K ,119000.0
Wisenbaker Builder Services,3.8,"Engineering Software Administrator (e-Builder, Primavera P6)","Laurel, MD",2d,$70K - $115K ,115000.0
Optum,3.0,2025 Early Career Program: Software Engineering,"Charlotte, NC",4d,$124K - $211K ,211000.0
SoFi,3.9,CAD Software Engineer (Cabinets),"Hillsboro, TX",12d,$161K - $253K ,253000.0
Fanatics Inc.,4.1,"Senior AI/ML Software Engineer, Java - Remote","Eden Prairie, MN",3d,$90K - $140K ,140000.0
Micron,3.4,"Staff Software Engineer, At Work","Seattle, WA",2d,$123K - $175K ,175000.0
Boeing,3.5,Software Engineer II,"New York, NY",18d,$81K - $131K ,131000.0
bellelynn,3.6,IT Software Engineer,"Boise, ID",30d+,$77K - $104K ,104000.0
Bertrandt,3.8,Software Engineer 3 - Front End (contract),"El Segundo, CA",3d,$125K - $208K ,208000.0
Amazon.com Services LLC,3.7,Sr Software Engineer,"Columbia, MD",3d,$80K - $113K ,113000.0
Salesforce,4.0,Automotive Software Engineer,"Sterling Heights, MI",30d+,$129K - $224K ,224000.0
Ford Motor Company,4.2,"Front End Engineer, Sponsored Brands - Fixed","New York, NY",4d,$92K - $133K ,133000.0
EAI Technologies,3.8,Software Engineering LMTS,"Bellevue, WA",4d,$105K - $130K ,130000.0
Mahlet,4.1,Software Engineer - Global Order Bank,"Dearborn, MI",16d,$62K - $89K ,89000.0
New River Systems Corporation,4.4,Physics/Math Graduate - Entry Level Software Developer,"Vienna, VA",30d+,$110K - $145K ,145000.0
REV Robotics,4.6,Software Engineer,"Burtonsville, MD",16d,$116K - $128K ,128000.0
"IntelliGenesis, LLC",4.1,OneStream Software Systems Engineer,United States,17d,$111K - $184K ,184000.0
Enersys,3.6,SENIOR SOFTWARE ENGINEER,"Carrollton, TX",5d,$138K - $297K ,297000.0
University of Washington,4.7,Full Stack Software Engineer Level 1,"Arlington, VA",30d+,$109K - $145K ,145000.0
Hewlett Packard,3.8,Product Engineer I,"Longmont, CO",24h,$97K - $133K ,133000.0
Movius Interactive Corporation,3.4,SOFTWARE ENGINEER,"Seattle, WA",30d+,$100K - $145K ,145000.0
Noblis,4.1,Cloud Software Development Engineer,"Fort Collins, CO",11d,$86K - $129K ,129000.0
CEDENT,3.7,Software Engineer - Backend Voice,"Fremont, CA",1d,$53K - $96K ,96000.0
Bank of America,3.5,Software Engineer (All Levels),"McLean, VA",30d+,$75K - $131K ,131000.0
LinQuest Corporation,4.3,"Software System Engineer (C++, JAVA background)","Warren, MI",30d+,$119K - $173K ,173000.0
Hewlett Packard,3.5,Software Engineer II,"Charlotte, NC",3d,$97K - $126K ,126000.0
Oracle,4.0,Ground Software Engineer,Virginia,11d,$84K - $106K ,106000.0
Federal Reserve Bank of Boston,4.1,Experienced Front-End Engineer,"Fort Collins, CO",14d,$81K - $109K ,109000.0
Collins Aerospace,3.5,Software Developer,"Austin, TX",2d,$166K - $228K ,228000.0
Apriva,3.9,Full-Stack Software Engineer – Digital Money and Payments Research & Development,"Boston, MA",30d+,$154K - $279K ,279000.0
ASEC,3.9,Software Engineering Co-op (Summer/Fall 2025) (Onsite),"Cedar Rapids, IA",2d,$115K - $154K ,154000.0
T. Rowe Price,4.6,Software Engineer IV,"Phoenix, AZ",27d,$66K - $109K ,109000.0
S&S Activewear LLC,3.8,Software Engineer,"Patuxent River, MD",16d,$116K - $204K ,204000.0
Peterson Technologies,4.0,Software Engineer,"Owings Mills, MD",23d,$102K - $150K ,150000.0
"LongPath Technologies, Inc.",3.7,Senior Software Engineer (Hybrid Available),"Bolingbrook, IL",22d,$139K - $184K ,184000.0
Gradient,4.0,Mid Level Software Engineer,"Hanover, MD",30d+,$94K - $118K ,118000.0
Amazon.com Services LLC,4.2,Senior Software Engineer,"Boulder, CO",18d,$94K - $136K ,136000.0
ENVISN INCORPORATED,3.7,Senior Software Engineer,"Burlingame, CA",2d,$126K - $265K ,265000.0
Intersoft Data Labs,3.5,"Software Development Engineer II, Sort Tech","Tempe, AZ",3d,$100K - $135K ,135000.0
Digital Insight Printing,4.1,Software Quality Assurance (Tester) Engineer,"Indianola, PA",9d,$175K - $209K ,209000.0
Teradyne,3.6,Software Engineer (Onsite),"Columbia, MD",25d,$248K - $385K ,385000.0
Beshenich Muir & Associates Llc,4.6,Magento Developer,Remote,24h,$91K - $152K ,152000.0
Powermind Solutions,4.6,Software Machine Learning Engineer,"North Reading, MA",3d,$129K - $193K ,193000.0
Plaid,3.7,Software Systems Engineer,"Fort Belvoir, VA",30d+,$98K - $135K ,135000.0
"Grammarly, Inc.",3.2,Software Developer,Georgia,4d,$114K - $149K ,149000.0
ShipperHQ,4.0,Software Engineer - Credit,"San Francisco, CA",30d+,$130K - $236K ,236000.0
Bryn Neil,3.6,"Software Engineer, Back-End",United States,30d+,$144K - $288K ,288000.0
DCS Corp,3.9,Sr. Software Engineer - Site Reliability,"Austin, TX",16d,$49K - $84K ,84000.0
Bank of America,3.4,Cleared Software Engineer,"Denver, CO",3d,$129K - $224K ,224000.0
"Amazon Web Services, Inc.",3.8,Software Developer,Maryland,3d,$118K - $184K ,184000.0
"Bio-Rad Laboratories, Inc.",4.1,Data Center Services - Software Engineer,"Plano, TX",8d,$86K - $116K ,116000.0
"Audacy, Inc.",4.8,"Software Dev Engineer, L5 , SFSC Integrations","Seattle, WA",23d,$124K - $234K ,234000.0
CyberKorp,4.2,Software Developer in Test,"Hercules, CA",10d,$80K - $119K ,119000.0
Leidos,3.5,Senior Software Engineer,"Denver, CO",4d,$88K ,88000.0
Boeing Intelligence & Analytics,3.4,"Software Developers – Multiple openings – Bloomingdale, IL",United States,30d+,$55K ,55000.0
Tesla,4.1,Junior Java Software Engineer,"Fort Meade, MD",30d+,$234K - $284K ,284000.0
OpenAI,3.1,Apprentice ETL Software Engineer,"Elkridge, MD",30d+,$160K - $385K ,385000.0
NCR Atleos,3.9,"Software Engineer, Tool & Infrastructure, Reliability & Test","Palo Alto, CA",1d,$222K ,222000.0
Electronic Warfare Associates,3.8,"Software Engineer, Engineering Acceleration","San Francisco, CA",5d,$82K - $118K ,118000.0
"BillGO, Inc.",3.3,ATM Software Engineer (Level III),"Frisco, TX",30d+,$69K - $107K ,107000.0
Genesys,3.6,Software Engineer,"Mount Laurel, NJ",30d+,$95K - $143K ,143000.0
